radius,distance_to_COM,sample_size,pi,S,S/H,Tajimas D,D,total_SNPs,proportion_driver,unique_driver_propotion,total_drivers,unique_combos
1,200.36754065683428,2,0.0,16,15.964627734662272,-29.147342128299758,-15.964627734662272,16,0.1875,0.0,3,1
1,111.6864120319797,2,15.5,31,30.93146623590815,-14.752852517594222,-15.43146623590815,31,0.25806451612903225,1.0,8,2
1,217.69565400646343,2,0.0,12,11.973470800996704,-28.865717412040755,-11.973470800996704,12,0.25,0.0,3,1
1,80.906852408351838,2,0.0,11,10.975681567580311,-28.765314160881093,-10.975681567580311,11,0.5454545454545454,0.0,6,1
1,113.50931890028444,2,6.5,18,17.960206201495055,-18.659671770505682,-11.460206201495055,18,0.3888888888888889,0.40000000000000002,7,2
1,95.48890691965876,2,12.0,24,23.946941601993409,-14.686075288693646,-11.946941601993409,24,0.4166666666666667,1.0,10,2
1,234.93830396279338,4,3.5,16,8.7272493621944545,-1.2360326749802515,-5.2272493621944545,16,0.1875,0.0,3,1
1,242.35771286435599,2,1.0,11,10.975681567580311,-26.144491573803919,-9.9756815675803114,11,0.2727272727272727,0.0,3,1
1,236.92493780505805,2,1.5,14,13.969049267829488,-25.908859737430742,-12.469049267829488,14,0.14285714285714285,0.0,2,1
1,226.11262494281377,2,4.0,16,15.964627734662272,-21.844361410493157,-11.964627734662272,16,0.1875,0.0,3,1
1,55.517916568987999,3,5.7777777777777786,21,13.999530124796927,-1.424049417261579,-8.221752347019148,21,0.2857142857142857,0.0,6,2
1,114.26433211792367,2,0.5,13,12.971260034413095,-27.835513787474508,-12.471260034413095,13,0.3076923076923077,0.0,4,1
1,143.40966992535306,2,6.0,17,16.962416968078664,-18.869927076846768,-10.962416968078664,17,0.23529411764705882,0.14285714285714285,4,2
1,152.39183452548377,5,8.0000000000000018,30,14.399993700142678,-0.84515936628082322,-6.3999937001426765,30,0.1,0.0,3,1
1,193.58871919984534,3,9.7777777777777786,29,19.332684458052899,-1.1902394285462636,-9.5549066802751206,29,0.1724137931034483,0.083333333333333329,5,2
1,93.782200173585565,2,4.5,18,17.960206201495055,-21.9161003970816,-13.460206201495055,18,0.2777777777777778,0.1111111111111111,5,2
1,152.5926163349036,2,6.5,19,18.957995434911449,-19.24336392237058,-12.457995434911449,19,0.2631578947368421,0.25,5,2
1,157.53409434666978,3,3.1111111111111116,20,13.33288583313993,-1.8613143013415581,-10.221774722028819,20,0.15,0.0,3,1
1,142.63311692102371,3,4.0,17,11.33295295816894,-1.5782625500602547,-7.3329529581689403,17,0.23529411764705882,0.0,4,2
1,192.71519149469461,3,2.666666666666667,11,7.3330872082269609,-1.5793224420242375,-4.666420541560294,11,0.36363636363636365,0.10000000000000001,4,2
1,163.79098296342602,2,2.0,10,9.9778923341639203,-22.904267591906642,-7.9778923341639203,10,0.3,0.0,3,1
1,69.9037553969535,3,8.4444444444444446,24,15.999462999767916,-1.1414360303025806,-7.5550185553234712,24,0.375,0.16666666666666666,9,2
1,117.16726124358,2,4.0,19,18.957995434911449,-23.105013258917186,-14.957995434911449,19,0.21052631578947367,0.0,4,1
1,168.05287745559886,2,7.5,18,17.960206201495055,-17.031457457217723,-10.460206201495055,18,0.1111111111111111,0.33333333333333331,2,2
1,105.88297365814297,4,6.875,24,13.090874043291681,-0.96999093647592072,-6.2158740432916808,24,0.2916666666666667,0.17647058823529413,7,3
1,222.60286401254206,2,4.5,23,22.949152368577014,-23.644574972777459,-18.449152368577014,23,0.13043478260869565,0.0,3,1
1,173.67036941107401,2,8.0,21,20.953573901744232,-18.146515677548454,-12.953573901744232,21,0.14285714285714285,0.0,3,1
1,218.80487803124842,2,0.0,14,13.969049267829488,-29.025640237000548,-13.969049267829488,14,0.21428571428571427,0.0,3,1
1,215.52756962420213,2,4.0,19,18.957995434911449,-23.105013258917186,-14.957995434911449,19,0.15789473684210525,0.0,3,1
1,128.13083449298006,2,4.5,20,19.955784668327841,-22.708635521887938,-15.455784668327841,20,0.2,0.0,4,1
1,142.0989921590878,2,11.0,24,23.946941601993409,-15.915350175769614,-12.946941601993409,24,0.16666666666666666,1.0,4,2
1,215.889294708547,3,0.88888888888888895,14,9.3330200831979511,-2.2217924882171638,-8.4441311943090618,14,0.14285714285714285,0.0,2,1
1,160.92638451966823,3,4.8888888888888893,20,13.33288583313993,-1.5375932947287041,-8.4439969442510403,20,0.2,0.10000000000000001,4,2
1,135.52642143271677,2,5.5,18,17.960206201495055,-20.287886083793641,-12.460206201495055,18,0.16666666666666666,0.20000000000000001,3,2
1,115.32741665643917,2,11.5,30,29.933677002491759,-18.2009954915268,-18.433677002491759,30,0.16666666666666666,0.25,5,2
1,34.491208110442891,3,3.1111111111111116,13,8.6663757915409541,-1.5787974301718037,-5.5552646804298424,13,0.38461538461538464,0.0,5,2
1,194.50965858468177,2,1.5,20,19.955784668327841,-27.116428980945901,-18.455784668327841,20,0.15,0.0,3,1
1,170.88096968206997,4,2.625,18,9.8181555324687597,-1.5067703494351741,-7.1931555324687597,18,0.16666666666666666,0.0,3,1
1,206.33852147028423,2,9.5,22,21.951363135160623,-16.667339117160367,-12.451363135160623,22,0.09090909090909091,0.33333333333333331,2,2
1,159.7076114498542,3,7.5555555555555571,20,13.33288583313993,-1.0520117848094235,-5.7773302775843725,20,0.15,0.0,3,2
1,201.10918900645527,2,1.0,14,13.969049267829488,-26.947786570620679,-12.969049267829488,14,0.21428571428571427,0.0,3,1
2,182.31992250756602,7,4.3265306122448974,26,10.612244539788312,-1.066398073071555,-6.2857139275434148,26,0.11538461538461539,0.0,3,1
2,111.00109539834683,8,13.21875,37,14.269972269995415,-0.13030246529332795,-1.0512222699954155,37,0.21621621621621623,0.038461538461538464,8,4
2,225.52813446690456,4,10.875,29,15.818139468977447,-0.63618697781999201,-4.9431394689774475,29,0.06896551724137931,0.0,2,2
2,190.58283891055854,8,9.0,31,11.955922712698861,-0.43808029604297721,-2.955922712698861,31,0.12903225806451613,0.0,4,3
2,208.19953751996803,6,6.0555555555555554,24,10.510947781885211,-0.78062845113374346,-4.4553922263296553,24,0.125,0.0,3,2
2,228.07487038201725,8,2.03125,16,6.1707988194574765,-1.2009282104390542,-4.1395488194574765,16,0.125,0.0,2,1
2,246.68796350227541,3,8.4444444444444446,26,17.332751583081908,-1.2375082356092795,-8.8883071386374635,26,0.07692307692307693,0.0,2,1
2,217.35129086516301,4,12.75,35,19.090857979800369,-0.67427324377841835,-6.3408579798003686,35,0.11428571428571428,0.25,4,4
2,266.72194688270434,7,1.306122448979592,17,6.9387752760154351,-1.4726533742599874,-5.6326528270358427,17,0.11764705882352941,0.0,2,1
2,89.742399862824612,9,10.666666666666666,42,15.453350769442173,-0.54235353632787198,-4.7866841027755065,42,0.16666666666666666,0.026315789473684209,7,4
2,115.48568530823238,6,2.6666666666666665,21,9.1970793091495597,-1.3108180463193089,-6.5304126424828937,21,0.2857142857142857,0.0,6,2
2,144.380624080758,6,7.8333333333333339,26,11.386860097042312,-0.57397354585563021,-3.5535267637089785,26,0.15384615384615385,0.0,4,2
2,180.00369560446782,10,12.520000000000001,47,16.613830788518158,-0.42840113782112427,-4.0938307885181562,47,0.14893617021276595,0.19047619047619047,7,5
2,107.64318805776749,5,5.2800000000000002,26,12.479994540123654,-1.0995620693472465,-7.1999945401236536,26,0.15384615384615385,0.0,4,1
2,134.31240252032805,15,9.4755555555555553,53,16.299856705342247,-0.71769205750424592,-6.8243011497866917,53,0.1320754716981132,0.034482758620689655,7,4
2,243.11694793003997,6,10.222222222222223,24,10.510947781885211,-0.050587552115050227,-0.28872555966298741,24,0.16666666666666666,0.0,4,2
2,146.60038319473273,7,7.183673469387756,29,11.836734294379271,-0.70670817952487275,-4.6530608249915151,29,0.1724137931034483,0.086956521739130432,5,3
2,78.176282854176605,6,7.166666666666667,25,10.948903939463762,-0.63574792594095153,-3.7822372727970945,25,0.24,0.0,6,2
2,156.89959404781266,9,10.469135802469136,42,15.453350769442173,-0.56473470049730445,-4.9842149669730365,42,0.11904761904761904,0.10000000000000001,5,4
2,149.26782329032341,3,6.6666666666666679,23,15.332818708110919,-1.3675290034141472,-8.666152041444251,23,0.21739130434782608,0.083333333333333329,5,2
2,167.90493859724131,7,16.08163265306122,39,15.918366809682469,0.018378813392254618,0.16326584337875083,39,0.15384615384615385,0.058823529411764705,6,3
2,149.55651335165723,8,6.8125,24,9.2561982291862144,-0.4692853016907354,-2.4436982291862144,24,0.20833333333333334,0.040000000000000001,5,3
2,229.11761597394124,6,10.166666666666668,27,11.824816254620863,-0.25775990411037975,-1.6581495879541954,27,0.07407407407407407,0.0,2,2
2,127.89125964998297,11,13.454545454545453,40,13.656686067584571,-0.025640113073352754,-0.20214061303911812,40,0.25,0.024390243902439025,10,4
2,105.65809360583104,4,20.125,53,28.909013512269127,-0.61401468674965543,-8.7840135122691265,53,0.22641509433962265,0.7142857142857143,12,4
2,165.23571476871456,6,12.055555555555557,32,14.014597042513616,-0.25635130216269142,-1.9590414869580588,32,0.1875,0.066666666666666666,6,3
2,156.5264612736859,7,7.1020408163265314,30,12.244897545909591,-0.75474178152237137,-5.1428567295830598,30,0.1,0.0,3,2
2,135.12285320877328,11,15.438016528925621,46,15.705188977722257,-0.029444769574613165,-0.26717244879663582,46,0.21739130434782608,0.046511627906976744,10,4
2,178.61678888743171,6,4.5,25,10.948903939463762,-1.0839820477668016,-6.4489039394637615,25,0.12,0.0,3,1
2,189.98876646383326,11,4.6942148760330573,23,7.8525944888611283,-0.69995242057684615,-3.158379612828071,23,0.21739130434782608,0.0,5,3
2,246.4692602261822,4,0.0,8,4.3636246810972272,-2.1300793109449336,-4.3636246810972272,8,0.375,0.0,3,1
2,211.27841567469363,8,3.25,23,8.8705233029701223,-1.1269792682820059,-5.6205233029701223,23,0.13043478260869565,0.0,3,2
2,183.82109347863747,7,3.8367346938775504,20,8.1632650306063947,-0.95832049370298289,-4.3265303367288439,20,0.15,0.0,3,1
2,158.51880210730971,4,11.75,26,14.181780213565988,-0.34975071043481809,-2.4317802135659878,26,0.19230769230769232,0.0,5,2
2,174.89903895494533,6,7.8888888888888884,27,11.824816254620863,-0.61184121610415187,-3.9359273657319749,27,0.2222222222222222,0.10000000000000001,6,3
2,117.38820836333902,4,4.875,18,9.8181555324687597,-1.0354565747049924,-4.9431555324687597,18,0.2222222222222222,0.0,4,1
2,69.342388458735385,10,9.7200000000000006,47,16.613830788518158,-0.72140865275393851,-6.8938307885181569,47,0.2978723404255319,0.13793103448275862,14,5
2,149.25632519733676,7,7.183673469387756,31,12.653060797439911,-0.7764617492643735,-5.4693873280521554,31,0.1935483870967742,0.14285714285714285,6,2
2,176.55004195707983,3,4.0000000000000009,12,7.9997314998839579,-1.2357411754888574,-3.999731499883957,12,0.25,0.0,3,2
2,185.58311551567732,6,5.333333333333333,23,10.072991624306662,-0.86717814833141549,-4.7396582909733285,23,0.17391304347826086,0.0,4,2
2,205.90053389633172,5,4.9600000000000009,22,10.559995380104631,-1.0138420411363238,-5.5999953801046303,22,0.13636363636363635,0.0,3,1
2,168.34805174499996,7,4.8979591836734695,21,8.5714282821367132,-0.77423426735892431,-3.6734690984632437,21,0.14285714285714285,0.0,3,1
2,223.0308807298951,10,9.0999999999999996,30,10.604572843734994,-0.247489615123443,-1.5045728437349943,30,0.1,0.0,3,1
2,204.88383477665684,5,1.6000000000000001,12,5.7599974800570708,-1.4045831378368812,-4.1599974800570703,12,0.16666666666666666,0.0,2,1
2,126.06399349035863,7,3.2653061224489797,19,7.7551017790760746,-1.0478548285099387,-4.4897956566270949,19,0.3157894736842105,0.0,6,3
2,200.56566516794541,8,6.09375,26,10.0275480816184,-0.69657651574085533,-3.9337980816184004,26,0.11538461538461539,0.0,3,1
2,137.01371983518095,7,2.2857142857142856,16,6.5306120244851158,-1.1808225620379076,-4.2448977387708302,16,0.25,0.0,4,1
2,228.58583151062402,5,7.5200000000000031,23,11.039995170109385,-0.60903010755116227,-3.5199951701093823,23,0.17391304347826086,0.20000000000000001,4,2
2,125.99520396824882,8,4.96875,24,9.2561982291862144,-0.82335716075184051,-4.2874482291862144,24,0.16666666666666666,0.0,4,1
2,193.50634526106958,6,3.5555555555555554,14,6.1313862060997062,-0.78319091956328712,-2.5758306505441508,14,0.21428571428571427,0.0,3,2
2,145.42906316710844,8,8.21875,29,11.184572860266677,-0.47021303004170689,-2.9658228602666767,29,0.2413793103448276,0.07407407407407407,7,4
2,121.87374426489423,7,5.2244897959183687,28,11.428571042848953,-0.97637426549006612,-6.2040812469305839,28,0.25,0.12,7,4
2,184.61127822004678,4,2.625,18,9.8181555324687597,-1.5067703494351741,-7.1931555324687597,18,0.1111111111111111,0.0,2,1
2,134.43041879596831,4,9.75,21,11.454514787880221,-0.30486408446318974,-1.7045147878802211,21,0.23809523809523808,0.0,5,2
2,132.32691152448746,6,4.9444444444444446,23,10.072991624306662,-0.93833010188376198,-5.1285471798622169,23,0.2608695652173913,0.080000000000000002,6,2
2,229.32481642739549,4,2.75,19,10.363608617605914,-1.5087536484681796,-7.6136086176059141,19,0.15789473684210525,0.0,3,1
2,148.7878961068522,6,11.666666666666668,32,14.014597042513616,-0.30723954201210274,-2.3479303758469481,32,0.1875,0.125,6,3
2,161.74227255500168,3,4.8888888888888893,19,12.666241541482933,-1.4928075632420241,-7.7773526525940433,19,0.15789473684210525,0.16666666666666666,3,2
2,198.0264595305631,7,1.4693877551020409,13,5.3061222698941561,-1.3207767971132924,-3.8367345147921155,13,0.3076923076923077,0.0,4,1
2,152.51513840969955,13,10.532544378698226,44,14.178863294793475,-0.44259061175402081,-3.6463189160952485,44,0.09090909090909091,0.0,4,2
2,81.163854055265219,11,13.520661157024794,40,13.656686067584571,-0.017253801871425313,-0.13602491055977772,40,0.25,0.045454545454545456,10,3
2,142.98674542115609,5,3.8400000000000007,22,10.559995380104631,-1.2166106166438748,-6.7199953801046304,22,0.13636363636363635,0.0,3,1
2,221.3986266325808,2,1.5,14,13.969049267829488,-25.908859737430742,-12.469049267829488,14,0.21428571428571427,0.0,3,1
2,210.38051515007638,5,5.9200000000000017,21,10.079995590099875,-0.78976283584812068,-4.1599955900998733,21,0.09523809523809523,0.0,2,2
2,204.13066388778643,6,4.666666666666667,27,11.824816254620863,-1.1127367306319267,-7.1581495879541963,27,0.1111111111111111,0.0,3,2
2,255.53672178077289,8,4.53125,23,8.8705233029701223,-0.87007397501095407,-4.3392733029701223,23,0.08695652173913043,0.0,2,1
2,194.60893608087906,7,3.918367346938775,21,8.5714282821367132,-0.98069675491390396,-4.6530609351979386,21,0.19047619047619047,0.0,4,2
